RunID,ConfigID,Repetition,Problema,PopSize,CrossoverProb,MutationProb,Generations,TiempoMs,Seed,SolutionID,Objetivo,Valor
C01_R01,1,1,HandballFixture,100,1.000,0.010,1000,1658,1001,1,O1,84.000000
C01_R01,1,1,HandballFixture,100,1.000,0.010,1000,1658,1001,1,O2,17.000000
C01_R01,1,1,HandballFixture,100,1.000,0.010,1000,1658,1001,1,Restriccion,0.000000
C01_R02,1,2,HandballFixture,100,1.000,0.010,1000,1345,1002,1,O1,84.000000
C01_R02,1,2,HandballFixture,100,1.000,0.010,1000,1345,1002,1,O2,39.000000
C01_R02,1,2,HandballFixture,100,1.000,0.010,1000,1345,1002,1,Restriccion,0.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1361,1003,1,O1,84.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1361,1003,1,O2,32.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1361,1003,1,Restriccion,0.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1361,1003,2,O1,85.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1361,1003,2,O2,30.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1361,1003,2,Restriccion,0.000000
C01_R04,1,4,HandballFixture,100,1.000,0.010,1000,1407,1004,1,O1,84.000000
C01_R04,1,4,HandballFixture,100,1.000,0.010,1000,1407,1004,1,O2,19.000000
C01_R04,1,4,HandballFixture,100,1.000,0.010,1000,1407,1004,1,Restriccion,0.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,1,O1,84.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,1,O2,19.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,1,Restriccion,0.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,2,O1,104.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,2,O2,14.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,2,Restriccion,0.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,3,O1,92.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,3,O2,17.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,3,Restriccion,0.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,4,O1,100.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,4,O2,16.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,4,Restriccion,0.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,5,O1,86.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,5,O2,18.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,5,Restriccion,0.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,6,O1,102.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,6,O2,15.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1637,1005,6,Restriccion,0.000000
C01_R06,1,6,HandballFixture,100,1.000,0.010,1000,1366,1006,1,O1,84.000000
C01_R06,1,6,HandballFixture,100,1.000,0.010,1000,1366,1006,1,O2,17.000000
C01_R06,1,6,HandballFixture,100,1.000,0.010,1000,1366,1006,1,Restriccion,0.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1443,1007,1,O1,87.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1443,1007,1,O2,17.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1443,1007,1,Restriccion,0.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1443,1007,2,O1,84.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1443,1007,2,O2,18.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1443,1007,2,Restriccion,0.000000
C01_R08,1,8,HandballFixture,100,1.000,0.010,1000,1375,1008,1,O1,84.000000
C01_R08,1,8,HandballFixture,100,1.000,0.010,1000,1375,1008,1,O2,28.000000
C01_R08,1,8,HandballFixture,100,1.000,0.010,1000,1375,1008,1,Restriccion,0.000000
C01_R09,1,9,HandballFixture,100,1.000,0.010,1000,1359,1009,1,O1,84.000000
C01_R09,1,9,HandballFixture,100,1.000,0.010,1000,1359,1009,1,O2,26.000000
C01_R09,1,9,HandballFixture,100,1.000,0.010,1000,1359,1009,1,Restriccion,0.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1395,1010,1,O1,84.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1395,1010,1,O2,18.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1395,1010,1,Restriccion,0.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1395,1010,2,O1,86.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1395,1010,2,O2,16.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1395,1010,2,Restriccion,0.000000
C01_R11,1,11,HandballFixture,100,1.000,0.010,1000,1384,1011,1,O1,84.000000
C01_R11,1,11,HandballFixture,100,1.000,0.010,1000,1384,1011,1,O2,26.000000
C01_R11,1,11,HandballFixture,100,1.000,0.010,1000,1384,1011,1,Restriccion,0.000000
C01_R12,1,12,HandballFixture,100,1.000,0.010,1000,1372,1012,1,O1,84.000000
C01_R12,1,12,HandballFixture,100,1.000,0.010,1000,1372,1012,1,O2,18.000000
C01_R12,1,12,HandballFixture,100,1.000,0.010,1000,1372,1012,1,Restriccion,0.000000
C01_R13,1,13,HandballFixture,100,1.000,0.010,1000,1341,1013,1,O1,84.000000
C01_R13,1,13,HandballFixture,100,1.000,0.010,1000,1341,1013,1,O2,18.000000
C01_R13,1,13,HandballFixture,100,1.000,0.010,1000,1341,1013,1,Restriccion,0.000000
C01_R14,1,14,HandballFixture,100,1.000,0.010,1000,1342,1014,1,O1,84.000000
C01_R14,1,14,HandballFixture,100,1.000,0.010,1000,1342,1014,1,O2,17.000000
C01_R14,1,14,HandballFixture,100,1.000,0.010,1000,1342,1014,1,Restriccion,0.000000
C01_R15,1,15,HandballFixture,100,1.000,0.010,1000,1351,1015,1,O1,84.000000
C01_R15,1,15,HandballFixture,100,1.000,0.010,1000,1351,1015,1,O2,19.000000
C01_R15,1,15,HandballFixture,100,1.000,0.010,1000,1351,1015,1,Restriccion,0.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1369,1016,1,O1,84.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1369,1016,1,O2,19.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1369,1016,1,Restriccion,0.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1369,1016,2,O1,85.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1369,1016,2,O2,18.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1369,1016,2,Restriccion,0.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1341,1017,1,O1,84.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1341,1017,1,O2,18.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1341,1017,1,Restriccion,0.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1341,1017,2,O1,85.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1341,1017,2,O2,16.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1341,1017,2,Restriccion,0.000000
C01_R18,1,18,HandballFixture,100,1.000,0.010,1000,1316,1018,1,O1,84.000000
C01_R18,1,18,HandballFixture,100,1.000,0.010,1000,1316,1018,1,O2,16.000000
C01_R18,1,18,HandballFixture,100,1.000,0.010,1000,1316,1018,1,Restriccion,0.000000
C01_R19,1,19,HandballFixture,100,1.000,0.010,1000,1344,1019,1,O1,85.000000
C01_R19,1,19,HandballFixture,100,1.000,0.010,1000,1344,1019,1,O2,17.000000
C01_R19,1,19,HandballFixture,100,1.000,0.010,1000,1344,1019,1,Restriccion,0.000000
