Cancha,Hora,ID Partido,Local,Visitante,Categoria,Dia,Superposiciones,ContInst,ContCat
CLARA JACKSON,10:00,P25,CEVVEN,BALONMANO LAYVA,U18 F,Sábado,0,0.00,0.00
CLARA JACKSON,12:00,P9,C. PONTEVEDRES SyD.,CLUB MALVIN,MEN. FORM. U14 F,Sábado,0,0.00,0.00
CLARA JACKSON,13:00,P34,COLEGIO ALEMAN,CBR,U14 F,Sábado,0,0.00,0.00
CLARA JACKSON,14:00,P21,C. PONTEVEDRES SyD.,CS. PROGRESO,U18 M,Sábado,0,0.00,0.00
COLONIA NICOLICH,11:00,P35,C. A. PEÑAROL,CLUB MALVIN,U16 M,Sábado,0,0.00,0.00
COLONIA NICOLICH,12:00,P36,LA MENNAIS,AEBU,U16 M,Sábado,0,0.00,0.00
COLONIA NICOLICH,13:00,P37,C. A. GOES,CLUB NAUTICO,U16 M,Sábado,0,0.00,0.00
COLONIA NICOLICH,14:00,P31,CLUB SOLIS,COLEGIO ALEMAN,U14 M,Sábado,0,0.00,0.00
COLONIA NICOLICH,15:00,P32,ALEMAN DS,UNIÓN SRS,U16 M,Sábado,0,0.00,0.00
PASO CARRASCO,14:00,P24,COLEGIO SAN PABLO,UNIÓN SRS,U18 M,Sábado,0,0.00,0.00
PASO CARRASCO,15:00,P28,AEBU,ARETEIA BIMBULLY,U14 F,Sábado,0,0.00,0.00
PASO CARRASCO,16:00,P26,COLEGIO ALEMAN,AEBU,U16 F,Sábado,0,0.00,0.00
PASO CARRASCO,18:00,P22,BALONMANO LAYVA,UNIÓN SRS,U14 F,Sábado,0,0.00,0.00
POLIDEPORTIVO CIUDAD DE LA COSTA,9:00,P8,AEBU,ACBALONMANO,MEN. FORM. U14 F,Sábado,0,0.00,0.00
POLIDEPORTIVO CIUDAD DE LA COSTA,10:00,P11,CEVVEN,CBR,INTER. F,Sábado,0,0.00,0.00
POLIDEPORTIVO CIUDAD DE LA COSTA,11:00,P3,COLEGIO ALEMAN,ENFOQUE,INTER. F,Sábado,0,0.00,0.00
POLIDEPORTIVO CIUDAD DE LA COSTA,14:00,P18,C. PONTEVEDRES SyD.,CLUB MALVIN,SEN. M,Sábado,0,0.00,0.00
POLIDEPORTIVO CIUDAD DE LA COSTA,16:00,P10,BALONMANO LAYVA,UNIÓN SRS,U21 F,Sábado,0,0.00,0.00
POLIDEPORTIVO LA PAZ,15:00,P38,CS. PROGRESO,CEVVEN,U16 F,Sábado,0,0.00,0.00
POLIDEPORTIVO LA PAZ,16:00,P16,BALONMANO LAYVA,CLUB NAUTICO,SEN. F,Sábado,0,0.00,0.00
POLIDEPORTIVO LA PAZ,17:00,P27,ALEMAN DS,CLUB NAUTICO,U16 F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,9:00,P6,C. A. GOES,STELLA MARIS,MEN. FORM. U14 F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,10:00,P0,CLUB MALVIN,AEBU,U21 F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,11:00,P23,CLUB SOLIS,UNIÓN SRS,U16 F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,13:00,P33,COLEGIO ALEMAN,CBR,U18 F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,14:00,P20,C. PONTEVEDRES SyD.,CLUB NAUTICO,U18 F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,15:00,P29,CLUB NAUTICO,CEVVEN,U14 F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,16:00,P7,PONTEVEDRES BALONMAN,CS. LA PAZ,U16 M,Sábado,0,0.00,0.00
SCUOLA ITALIANA,17:00,P39,COLEGIO SAN PABLO,BALONMANO LAYVA,U16 M,Sábado,0,0.00,0.00
SCUOLA ITALIANA,19:00,P15,CLUB MALVIN,AEBU,SEN. F,Sábado,0,0.00,0.00
SCUOLA ITALIANA,21:00,P2,CLUB NAUTICO,CEVVEN,U21 F,Sábado,0,0.00,0.00
SPORTHALLE,12:00,P12,ALEMAN DS,SCUOLA ITALIANA,U14 M,Sábado,0,0.00,0.00
SPORTHALLE,13:00,P30,COLEGIO ALEMAN,SCUOLA ITALIANA,U18 M,Sábado,0,0.00,0.00
SPORTHALLE,14:00,P19,SCUOLA ITALIANA,COLEGIO ALEMAN,SEN. M,Sábado,0,0.00,0.00
SPORTHALLE,15:00,P17,SCUOLA ITALIANA,UNIÓN SRS,SEN. F,Sábado,0,0.00,0.00
SPORTHALLE,16:00,P13,SCUOLA ITALIANA,CLUB MALVIN,U14 F,Sábado,0,0.00,0.00
SPORTHALLE,17:00,P4,COLEGIO ALEMAN,SCUOLA ITALIANA,U16 M,Sábado,0,0.00,0.00
SPORTHALLE,18:00,P1,SCUOLA ITALIANA,C. A. PEÑAROL,U21 F,Sábado,0,0.00,0.00
SPORTHALLE,19:00,P5,SCUOLA ITALIANA,COLEGIO ALEMAN,INTER. M,Sábado,0,0.00,0.00
SPORTHALLE,21:00,P14,SCUOLA ITALIANA,AEBU,U18 F,Sábado,0,0.00,0.00
