RunID,ConfigID,Repetition,Problema,PopSize,CrossoverProb,MutationProb,Generations,TiempoMs,Seed,SolutionID,Objetivo,Valor
C01_R01,1,1,HandballFixture,100,1.000,0.010,1000,1454,1001,1,O1,20.000000
C01_R01,1,1,HandballFixture,100,1.000,0.010,1000,1454,1001,1,O2,5.000000
C01_R01,1,1,HandballFixture,100,1.000,0.010,1000,1454,1001,1,Restriccion,0.000000
C01_R02,1,2,HandballFixture,100,1.000,0.010,1000,1117,1002,1,O1,20.000000
C01_R02,1,2,HandballFixture,100,1.000,0.010,1000,1117,1002,1,O2,5.000000
C01_R02,1,2,HandballFixture,100,1.000,0.010,1000,1117,1002,1,Restriccion,0.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1121,1003,1,O1,20.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1121,1003,1,O2,5.000000
C01_R03,1,3,HandballFixture,100,1.000,0.010,1000,1121,1003,1,Restriccion,0.000000
C01_R04,1,4,HandballFixture,100,1.000,0.010,1000,1116,1004,1,O1,20.000000
C01_R04,1,4,HandballFixture,100,1.000,0.010,1000,1116,1004,1,O2,5.000000
C01_R04,1,4,HandballFixture,100,1.000,0.010,1000,1116,1004,1,Restriccion,0.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1127,1005,1,O1,20.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1127,1005,1,O2,5.000000
C01_R05,1,5,HandballFixture,100,1.000,0.010,1000,1127,1005,1,Restriccion,0.000000
C01_R06,1,6,HandballFixture,100,1.000,0.010,1000,1125,1006,1,O1,20.000000
C01_R06,1,6,HandballFixture,100,1.000,0.010,1000,1125,1006,1,O2,5.000000
C01_R06,1,6,HandballFixture,100,1.000,0.010,1000,1125,1006,1,Restriccion,0.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1111,1007,1,O1,20.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1111,1007,1,O2,5.000000
C01_R07,1,7,HandballFixture,100,1.000,0.010,1000,1111,1007,1,Restriccion,0.000000
C01_R08,1,8,HandballFixture,100,1.000,0.010,1000,1113,1008,1,O1,20.000000
C01_R08,1,8,HandballFixture,100,1.000,0.010,1000,1113,1008,1,O2,6.000000
C01_R08,1,8,HandballFixture,100,1.000,0.010,1000,1113,1008,1,Restriccion,0.000000
C01_R09,1,9,HandballFixture,100,1.000,0.010,1000,1109,1009,1,O1,20.000000
C01_R09,1,9,HandballFixture,100,1.000,0.010,1000,1109,1009,1,O2,6.000000
C01_R09,1,9,HandballFixture,100,1.000,0.010,1000,1109,1009,1,Restriccion,0.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1129,1010,1,O1,20.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1129,1010,1,O2,5.000000
C01_R10,1,10,HandballFixture,100,1.000,0.010,1000,1129,1010,1,Restriccion,0.000000
C01_R11,1,11,HandballFixture,100,1.000,0.010,1000,1119,1011,1,O1,20.000000
C01_R11,1,11,HandballFixture,100,1.000,0.010,1000,1119,1011,1,O2,5.000000
C01_R11,1,11,HandballFixture,100,1.000,0.010,1000,1119,1011,1,Restriccion,0.000000
C01_R12,1,12,HandballFixture,100,1.000,0.010,1000,1126,1012,1,O1,20.000000
C01_R12,1,12,HandballFixture,100,1.000,0.010,1000,1126,1012,1,O2,6.000000
C01_R12,1,12,HandballFixture,100,1.000,0.010,1000,1126,1012,1,Restriccion,0.000000
C01_R13,1,13,HandballFixture,100,1.000,0.010,1000,1158,1013,1,O1,20.000000
C01_R13,1,13,HandballFixture,100,1.000,0.010,1000,1158,1013,1,O2,5.000000
C01_R13,1,13,HandballFixture,100,1.000,0.010,1000,1158,1013,1,Restriccion,0.000000
C01_R14,1,14,HandballFixture,100,1.000,0.010,1000,1111,1014,1,O1,20.000000
C01_R14,1,14,HandballFixture,100,1.000,0.010,1000,1111,1014,1,O2,5.000000
C01_R14,1,14,HandballFixture,100,1.000,0.010,1000,1111,1014,1,Restriccion,0.000000
C01_R15,1,15,HandballFixture,100,1.000,0.010,1000,1115,1015,1,O1,20.000000
C01_R15,1,15,HandballFixture,100,1.000,0.010,1000,1115,1015,1,O2,5.000000
C01_R15,1,15,HandballFixture,100,1.000,0.010,1000,1115,1015,1,Restriccion,0.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1112,1016,1,O1,20.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1112,1016,1,O2,11.000000
C01_R16,1,16,HandballFixture,100,1.000,0.010,1000,1112,1016,1,Restriccion,0.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1141,1017,1,O1,20.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1141,1017,1,O2,5.000000
C01_R17,1,17,HandballFixture,100,1.000,0.010,1000,1141,1017,1,Restriccion,0.000000
C01_R18,1,18,HandballFixture,100,1.000,0.010,1000,1168,1018,1,O1,20.000000
C01_R18,1,18,HandballFixture,100,1.000,0.010,1000,1168,1018,1,O2,5.000000
C01_R18,1,18,HandballFixture,100,1.000,0.010,1000,1168,1018,1,Restriccion,0.000000
C01_R19,1,19,HandballFixture,100,1.000,0.010,1000,1140,1019,1,O1,20.000000
C01_R19,1,19,HandballFixture,100,1.000,0.010,1000,1140,1019,1,O2,5.000000
C01_R19,1,19,HandballFixture,100,1.000,0.010,1000,1140,1019,1,Restriccion,0.000000
C01_R20,1,20,HandballFixture,100,1.000,0.010,1000,1131,1020,1,O1,20.000000
C01_R20,1,20,HandballFixture,100,1.000,0.010,1000,1131,1020,1,O2,5.000000
C01_R20,1,20,HandballFixture,100,1.000,0.010,1000,1131,1020,1,Restriccion,0.000000
C01_R21,1,21,HandballFixture,100,1.000,0.010,1000,1188,1021,1,O1,20.000000
C01_R21,1,21,HandballFixture,100,1.000,0.010,1000,1188,1021,1,O2,5.000000
C01_R21,1,21,HandballFixture,100,1.000,0.010,1000,1188,1021,1,Restriccion,0.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1119,1022,1,O1,20.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1119,1022,1,O2,5.000000
C01_R22,1,22,HandballFixture,100,1.000,0.010,1000,1119,1022,1,Restriccion,0.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1155,1023,1,O1,20.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1155,1023,1,O2,5.000000
C01_R23,1,23,HandballFixture,100,1.000,0.010,1000,1155,1023,1,Restriccion,0.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1103,1024,1,O1,20.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1103,1024,1,O2,5.000000
C01_R24,1,24,HandballFixture,100,1.000,0.010,1000,1103,1024,1,Restriccion,0.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1113,1025,1,O1,20.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1113,1025,1,O2,5.000000
C01_R25,1,25,HandballFixture,100,1.000,0.010,1000,1113,1025,1,Restriccion,0.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1119,1026,1,O1,20.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1119,1026,1,O2,6.000000
C01_R26,1,26,HandballFixture,100,1.000,0.010,1000,1119,1026,1,Restriccion,0.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1109,1027,1,O1,20.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1109,1027,1,O2,5.000000
C01_R27,1,27,HandballFixture,100,1.000,0.010,1000,1109,1027,1,Restriccion,0.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1126,1028,1,O1,20.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1126,1028,1,O2,11.000000
C01_R28,1,28,HandballFixture,100,1.000,0.010,1000,1126,1028,1,Restriccion,0.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1154,1029,1,O1,20.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1154,1029,1,O2,6.000000
C01_R29,1,29,HandballFixture,100,1.000,0.010,1000,1154,1029,1,Restriccion,0.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1108,1030,1,O1,20.000000
C01_R30,1,30,HandballFixture,100,1.000,0.010,1000,1108,1030,1,O2,5.000000
